country,coffee_type,year_raw,value,year_x,happiness_rank,year_y
Brazil,Arabica/Robusta,2019/20,1320000000,2019,32,2019
Burundi,Arabica/Robusta,2019/20,120000,2019,145,2019
Ecuador,Arabica/Robusta,2019/20,8940000,2019,50,2019
Indonesia,Robusta/Arabica,2019/20,288360000,2019,92,2019
Madagascar,Robusta,2019/20,22500000,2019,143,2019
Malawi,Arabica,2019/20,60000,2019,150,2019
Paraguay,Arabica,2019/20,1200000,2019,63,2019
Peru,Arabica,2019/20,15000000,2019,65,2019
Rwanda,Arabica,2019/20,60000,2019,152,2019
Zimbabwe,Arabica,2019/20,240000,2019,146,2019
Dominican Republic,Arabica/Robusta,2019/20,22620000,2019,77,2019
Haiti,Arabica,2019/20,20700000,2019,147,2019
Philippines,Robusta/Arabica,2019/20,195000000,2019,69,2019
Tanzania,Arabica/Robusta,2019/20,5700000,2019,153,2019
Zambia,Arabica,2019/20,0,2019,138,2019
Cameroon,Robusta/Arabica,2019/20,4620000,2019,96,2019
Central African Republic,Robusta,2019/20,1200000,2019,155,2019
Colombia,Arabica,2019/20,121486440,2019,43,2019
Costa Rica,Arabica,2019/20,21120000,2019,12,2019
El Salvador,Arabica,2019/20,17520000,2019,35,2019
Ethiopia,Arabica,2019/20,226860000,2019,134,2019
Gabon,Robusta,2019/20,30000,2019,104,2019
Ghana,Robusta,2019/20,120000,2019,98,2019
Guatemala,Arabica/Robusta,2019/20,23580000,2019,27,2019
Guinea,Robusta,2019/20,3000000,2019,118,2019
Honduras,Arabica,2019/20,21000000,2019,59,2019
India,Robusta/Arabica,2019/20,87000000,2019,140,2019
Jamaica,Arabica,2019/20,540000,2019,56,2019
Kenya,Arabica,2019/20,4290000,2019,121,2019
Liberia,Robusta,2019/20,300000,2019,141,2019
Mexico,Arabica/Robusta,2019/20,145500000,2019,23,2019
Nepal,Arabica,2019/20,0,2019,100,2019
Nicaragua,Arabica,2019/20,12600000,2019,45,2019
Nigeria,Robusta,2019/20,2400000,2019,85,2019
Panama,Arabica,2019/20,4020000,2019,31,2019
Sierra Leone,Robusta,2019/20,300000,2019,129,2019
Sri Lanka,Robusta/Arabica,2019/20,2100000,2019,130,2019
Thailand,Robusta/Arabica,2019/20,84000000,2019,52,2019
Togo,Robusta,2019/20,15600,2019,139,2019
Uganda,Robusta/Arabica,2019/20,15240000,2019,136,2019
Venezuela,Arabica,2019/20,76500000,2019,108,2019
Yemen,Arabica,2019/20,3840000,2019,151,2019
