country,year_raw,value,year
Angola,1990,5040000,1990
Bolivia (Plurinational State of),1990,9360000,1990
Brazil,1990,1016160000,1990
Burundi,1990,35100000,1990
Cameroon,1990,156660000,1990
Central African Republic,1990,11820000,1990
Colombia,1990,836640000,1990
Congo,1990,120000,1990
Costa Rica,1990,135960000,1990
Côte d'Ivoire,1990,256980000,1990
Cuba,1990,10920000,1990
Democratic Republic of Congo,1990,110340000,1990
Dominican Republic,1990,32100000,1990
Ecuador,1990,107040000,1990
El Salvador,1990,150600000,1990
Equatorial Guinea,1990,420000,1990
Ethiopia,1990,64440000,1990
Gabon,1990,120000,1990
Ghana,1990,660000,1990
Guatemala,1990,194400000,1990
Guinea,1990,7320000,1990
Guyana,1990,0,1990
Haiti,1990,11460000,1990
Honduras,1990,104100000,1990
India,1990,118740000,1990
Indonesia,1990,414180000,1990
Jamaica,1990,900000,1990
Kenya,1990,118140000,1990
Lao People's Democratic Republic,1990,5880000,1990
Liberia,1990,1320000,1990
Madagascar,1990,51780000,1990
Malawi,1990,7440000,1990
Mexico,1990,220980000,1990
Nepal,1990,0,1990
Nicaragua,1990,40260000,1990
Nigeria,1990,240000,1990
Panama,1990,7920000,1990
Papua New Guinea,1990,63060000,1990
Paraguay,1990,15780000,1990
Peru,1990,66300000,1990
Philippines,1990,10080000,1990
Rwanda,1990,46740000,1990
Sierra Leone,1990,8400000,1990
Sri Lanka,1990,1140000,1990
Tanzania,1990,61140000,1990
Thailand,1990,60060000,1990
Timor-Leste,1990,0,1990
Togo,1990,14340000,1990
Trinidad & Tobago,1990,1800000,1990
Uganda,1990,141180000,1990
Venezuela,1990,16680000,1990
Viet Nam,1990,68700000,1990
Yemen,1990,3000000,1990
Zambia,1990,1440000,1990
Zimbabwe,1990,15060000,1990
Angola,1991,4260000,1991
Bolivia (Plurinational State of),1991,4440000,1991
Brazil,1991,1270980000,1991
Burundi,1991,41280000,1991
Cameroon,1991,105120000,1991
Central African Republic,1991,8460000,1991
Colombia,1991,755940000,1991
Congo,1991,60000,1991
Costa Rica,1991,144000000,1991
Côte d'Ivoire,1991,228300000,1991
Cuba,1991,7260000,1991
Democratic Republic of Congo,1991,85080000,1991
Dominican Republic,1991,28560000,1991
Ecuador,1991,84960000,1991
El Salvador,1991,128880000,1991
Equatorial Guinea,1991,180000,1991
Ethiopia,1991,50460000,1991
Gabon,1991,180000,1991
Ghana,1991,960000,1991
Guatemala,1991,169920000,1991
Guinea,1991,3660000,1991
Guyana,1991,0,1991
Haiti,1991,9060000,1991
Honduras,1991,86640000,1991
India,1991,103620000,1991
Indonesia,1991,370260000,1991
Jamaica,1991,1020000,1991
Kenya,1991,93480000,1991
Lao People's Democratic Republic,1991,5880000,1991
Liberia,1991,0,1991
Madagascar,1991,35280000,1991
Malawi,1991,6000000,1991
Mexico,1991,211860000,1991
Nepal,1991,0,1991
Nicaragua,1991,23520000,1991
Nigeria,1991,60000,1991
Panama,1991,7440000,1991
Papua New Guinea,1991,47280000,1991
Paraguay,1991,7200000,1991
Peru,1991,62520000,1991
Philippines,1991,6180000,1991
Rwanda,1991,28440000,1991
Sierra Leone,1991,6240000,1991
Sri Lanka,1991,1320000,1991
Tanzania,1991,52260000,1991
Thailand,1991,32460000,1991
Timor-Leste,1991,0,1991
Togo,1991,9300000,1991
Trinidad & Tobago,1991,480000,1991
Uganda,1991,125700000,1991
Venezuela,1991,7680000,1991
Viet Nam,1991,72060000,1991
Yemen,1991,4320000,1991
Zambia,1991,1740000,1991
Zimbabwe,1991,14340000,1991
Angola,1992,4800000,1992
Bolivia (Plurinational State of),1992,5760000,1992
Brazil,1992,1127460000,1992
Burundi,1992,38760000,1992
Cameroon,1992,98760000,1992
Central African Republic,1992,6000000,1992
Colombia,1992,993840000,1992
Congo,1992,0,1992
Costa Rica,1992,145860000,1992
Côte d'Ivoire,1992,272760000,1992
Cuba,1992,9780000,1992
Democratic Republic of Congo,1992,57240000,1992
Dominican Republic,1992,22140000,1992
Ecuador,1992,76380000,1992
El Salvador,1992,127200000,1992
Equatorial Guinea,1992,180000,1992
Ethiopia,1992,44040000,1992
Gabon,1992,60000,1992
Ghana,1992,1920000,1992
Guatemala,1992,199680000,1992
Guinea,1992,3480000,1992
Guyana,1992,60000,1992
Haiti,1992,9960000,1992
Honduras,1992,117600000,1992
India,1992,108960000,1992
Indonesia,1992,276240000,1992
Jamaica,1992,1320000,1992
Kenya,1992,83040000,1992
Lao People's Democratic Republic,1992,6120000,1992
Liberia,1992,0,1992
Madagascar,1992,44160000,1992
Malawi,1992,7680000,1992
Mexico,1992,199920000,1992
Nepal,1992,0,1992
Nicaragua,1992,38160000,1992
Nigeria,1992,660000,1992
Panama,1992,7500000,1992
Papua New Guinea,1992,55020000,1992
Paraguay,1992,2400000,1992
Peru,1992,63660000,1992
Philippines,1992,2460000,1992
Rwanda,1992,38700000,1992
Sierra Leone,1992,2820000,1992
Sri Lanka,1992,900000,1992
Tanzania,1992,49680000,1992
Thailand,1992,69840000,1992
Timor-Leste,1992,0,1992
Togo,1992,18780000,1992
Trinidad & Tobago,1992,120000,1992
Uganda,1992,117660000,1992
Venezuela,1992,8160000,1992
Viet Nam,1992,116280000,1992
Yemen,1992,2220000,1992
Zambia,1992,1860000,1992
Zimbabwe,1992,9720000,1992
Angola,1993,2340000,1993
Bolivia (Plurinational State of),1993,2820000,1993
Brazil,1993,1070280000,1993
Burundi,1993,25080000,1993
Cameroon,1993,42300000,1993
Central African Republic,1993,8220000,1993
Colombia,1993,814080000,1993
Congo,1993,60000,1993
Costa Rica,1993,141840000,1993
Côte d'Ivoire,1993,241980000,1993
Cuba,1993,6960000,1993
Democratic Republic of Congo,1993,55200000,1993
Dominican Republic,1993,19860000,1993
Ecuador,1993,95940000,1993
El Salvador,1993,176820000,1993
Equatorial Guinea,1993,120000,1993
Ethiopia,1993,70020000,1993
Gabon,1993,120000,1993
Ghana,1993,2820000,1993
Guatemala,1993,225060000,1993
Guinea,1993,900000,1993
Guyana,1993,0,1993
Haiti,1993,9540000,1993
Honduras,1993,102300000,1993
India,1993,126120000,1993
Indonesia,1993,339720000,1993
Jamaica,1993,1440000,1993
Kenya,1993,86340000,1993
Lao People's Democratic Republic,1993,8520000,1993
Liberia,1993,0,1993
Madagascar,1993,37680000,1993
Malawi,1993,6240000,1993
Mexico,1993,195840000,1993
Nepal,1993,0,1993
Nicaragua,1993,28560000,1993
Nigeria,1993,600000,1993
Panama,1993,7740000,1993
Papua New Guinea,1993,63300000,1993
Paraguay,1993,3480000,1993
Peru,1993,46500000,1993
Philippines,1993,2100000,1993
Rwanda,1993,28860000,1993
Sierra Leone,1993,2460000,1993
Sri Lanka,1993,840000,1993
Tanzania,1993,62220000,1993
Thailand,1993,58920000,1993
Timor-Leste,1993,0,1993
Togo,1993,13080000,1993
Trinidad & Tobago,1993,600000,1993
Uganda,1993,109740000,1993
Venezuela,1993,31500000,1993
Viet Nam,1993,124320000,1993
Yemen,1993,3060000,1993
Zambia,1993,1380000,1993
Zimbabwe,1993,4200000,1993
Angola,1994,480000,1994
Bolivia (Plurinational State of),1994,5040000,1994
Brazil,1994,1036380000,1994
Burundi,1994,30480000,1994
Cameroon,1994,32760000,1994
Central African Republic,1994,8220000,1994
Colombia,1994,706080000,1994
Congo,1994,60000,1994
Costa Rica,1994,126300000,1994
Côte d'Ivoire,1994,146640000,1994
Cuba,1994,8160000,1994
Democratic Republic of Congo,1994,45660000,1994
Dominican Republic,1994,19920000,1994
Ecuador,1994,128700000,1994
El Salvador,1994,125580000,1994
Equatorial Guinea,1994,60000,1994
Ethiopia,1994,88500000,1994
Gabon,1994,300000,1994
Ghana,1994,660000,1994
Guatemala,1994,196440000,1994
Guinea,1994,3000000,1994
Guyana,1994,0,1994
Haiti,1994,6180000,1994
Honduras,1994,103080000,1994
India,1994,149760000,1994
Indonesia,1994,276300000,1994
Jamaica,1994,960000,1994
Kenya,1994,81480000,1994
Lao People's Democratic Republic,1994,9180000,1994
Liberia,1994,0,1994
Madagascar,1994,26160000,1994
Malawi,1994,4680000,1994
Mexico,1994,167340000,1994
Nepal,1994,0,1994
Nicaragua,1994,37440000,1994
Nigeria,1994,480000,1994
Panama,1994,4560000,1994
Papua New Guinea,1994,69420000,1994
Paraguay,1994,2880000,1994
Peru,1994,63420000,1994
Philippines,1994,7560000,1994
Rwanda,1994,1800000,1994
Sierra Leone,1994,3720000,1994
Sri Lanka,1994,2820000,1994
Tanzania,1994,37920000,1994
Thailand,1994,68160000,1994
Timor-Leste,1994,0,1994
Togo,1994,9960000,1994
Trinidad & Tobago,1994,300000,1994
Uganda,1994,202140000,1994
Venezuela,1994,23160000,1994
Viet Nam,1994,163260000,1994
Yemen,1994,5580000,1994
Zambia,1994,1440000,1994
Zimbabwe,1994,1920000,1994
Angola,1995,2460000,1995
Bolivia (Plurinational State of),1995,5640000,1995
Brazil,1995,868080000,1995
Burundi,1995,31680000,1995
Cameroon,1995,24420000,1995
Central African Republic,1995,13920000,1995
Colombia,1995,588840000,1995
Congo,1995,1140000,1995
Costa Rica,1995,124020000,1995
Côte d'Ivoire,1995,149640000,1995
Cuba,1995,7320000,1995
Democratic Republic of Congo,1995,63060000,1995
Dominican Republic,1995,27060000,1995
Ecuador,1995,92400000,1995
El Salvador,1995,108420000,1995
Equatorial Guinea,1995,180000,1995
Ethiopia,1995,76560000,1995
Gabon,1995,180000,1995
Ghana,1995,2280000,1995
Guatemala,1995,222060000,1995
Guinea,1995,9120000,1995
Guyana,1995,0,1995
Haiti,1995,9120000,1995
Honduras,1995,107760000,1995
India,1995,148020000,1995
Indonesia,1995,236820000,1995
Jamaica,1995,1560000,1995
Kenya,1995,87000000,1995
Lao People's Democratic Republic,1995,9900000,1995
Liberia,1995,0,1995
Madagascar,1995,35100000,1995
Malawi,1995,5520000,1995
Mexico,1995,217560000,1995
Nepal,1995,0,1995
Nicaragua,1995,40860000,1995
Nigeria,1995,900000,1995
Panama,1995,10860000,1995
Papua New Guinea,1995,60120000,1995
Paraguay,1995,1260000,1995
Peru,1995,105600000,1995
Philippines,1995,3420000,1995
Rwanda,1995,18840000,1995
Sierra Leone,1995,4260000,1995
Sri Lanka,1995,1320000,1995
Tanzania,1995,44700000,1995
Thailand,1995,72600000,1995
Timor-Leste,1995,0,1995
Togo,1995,12000000,1995
Trinidad & Tobago,1995,240000,1995
Uganda,1995,184740000,1995
Venezuela,1995,5820000,1995
Viet Nam,1995,212760000,1995
Yemen,1995,4620000,1995
Zambia,1995,1260000,1995
Zimbabwe,1995,9420000,1995
Angola,1996,3120000,1996
Bolivia (Plurinational State of),1996,7380000,1996
Brazil,1996,915060000,1996
Burundi,1996,13440000,1996
Cameroon,1996,33840000,1996
Central African Republic,1996,5880000,1996
Colombia,1996,635280000,1996
Congo,1996,780000,1996
Costa Rica,1996,145800000,1996
Côte d'Ivoire,1996,165060000,1996
Cuba,1996,6720000,1996
Democratic Republic of Congo,1996,52920000,1996
Dominican Republic,1996,27180000,1996
Ecuador,1996,92340000,1996
El Salvador,1996,138840000,1996
Equatorial Guinea,1996,120000,1996
Ethiopia,1996,110280000,1996
Gabon,1996,120000,1996
Ghana,1996,240000,1996
Guatemala,1996,238740000,1996
Guinea,1996,1920000,1996
Guyana,1996,0,1996
Haiti,1996,9360000,1996
Honduras,1996,123600000,1996
India,1996,186180000,1996
Indonesia,1996,386400000,1996
Jamaica,1996,1620000,1996
Kenya,1996,114120000,1996
Lao People's Democratic Republic,1996,8640000,1996
Liberia,1996,0,1996
Madagascar,1996,43080000,1996
Malawi,1996,3600000,1996
Mexico,1996,277980000,1996
Nepal,1996,0,1996
Nicaragua,1996,49320000,1996
Nigeria,1996,420000,1996
Panama,1996,8340000,1996
Papua New Guinea,1996,65400000,1996
Paraguay,1996,960000,1996
Peru,1996,100740000,1996
Philippines,1996,1620000,1996
Rwanda,1996,15900000,1996
Sierra Leone,1996,1740000,1996
Sri Lanka,1996,720000,1996
Tanzania,1996,58200000,1996
Thailand,1996,52380000,1996
Timor-Leste,1996,0,1996
Togo,1996,5100000,1996
Trinidad & Tobago,1996,240000,1996
Uganda,1996,279300000,1996
Venezuela,1996,29700000,1996
Viet Nam,1996,226740000,1996
Yemen,1996,2520000,1996
Zambia,1996,2160000,1996
Zimbabwe,1996,9000000,1996
Angola,1997,3000000,1997
Bolivia (Plurinational State of),1997,6660000,1997
Brazil,1997,1008060000,1997
Burundi,1997,31740000,1997
Cameroon,1997,82080000,1997
Central African Republic,1997,12180000,1997
Colombia,1997,655140000,1997
Congo,1997,180000,1997
Costa Rica,1997,125940000,1997
Côte d'Ivoire,1997,282780000,1997
Cuba,1997,6420000,1997
Democratic Republic of Congo,1997,32640000,1997
Dominican Republic,1997,18420000,1997
Ecuador,1997,62700000,1997
El Salvador,1997,166320000,1997
Equatorial Guinea,1997,60000,1997
Ethiopia,1997,118800000,1997
Gabon,1997,0,1997
Ghana,1997,1800000,1997
Guatemala,1997,254640000,1997
Guinea,1997,6840000,1997
