country,year_raw,value,year
   Austria,1990,80400000,1990
   Belgium,1990,0,1990
   Belgium/Luxembourg,1990,67440000,1990
   Bulgaria,1990,6120000,1990
   Croatia,1990,0,1990
   Cyprus,1990,1860000,1990
   Czechia,1990,39540000,1990
   Denmark,1990,51900000,1990
   Estonia,1990,0,1990
   Finland,1990,64200000,1990
   France,1990,312300000,1990
   Germany,1990,436740000,1990
   Greece,1990,37860000,1990
   Hungary,1990,34440000,1990
   Ireland,1990,7200000,1990
   Italy,1990,289920000,1990
   Latvia,1990,0,1990
   Lithuania,1990,0,1990
   Luxembourg,1990,0,1990
   Malta,1990,1200000,1990
   Netherlands,1990,142980000,1990
   Poland,1990,20100000,1990
   Portugal,1990,28020000,1990
   Romania,1990,26520000,1990
   Slovakia,1990,0,1990
   Slovenia,1990,0,1990
   Spain,1990,162840000,1990
   Sweden,1990,101340000,1990
Japan,1990,303600000,1990
Norway,1990,43620000,1990
Russian Federation,1990,0,1990
Switzerland,1990,54420000,1990
Tunisia,1990,6060000,1990
United Kingdom,1990,140880000,1990
United States of America,1990,1097880000,1990
   Austria,1991,78120000,1991
   Belgium,1991,0,1991
   Belgium/Luxembourg,1991,42480000,1991
   Bulgaria,1991,1020000,1991
   Croatia,1991,0,1991
   Cyprus,1991,2700000,1991
   Czechia,1991,31500000,1991
   Denmark,1991,54540000,1991
   Estonia,1991,0,1991
   Finland,1991,57960000,1991
   France,1991,333420000,1991
   Germany,1991,742620000,1991
   Greece,1991,23220000,1991
   Hungary,1991,22800000,1991
   Ireland,1991,6780000,1991
   Italy,1991,255240000,1991
   Latvia,1991,0,1991
   Lithuania,1991,0,1991
   Luxembourg,1991,0,1991
   Malta,1991,780000,1991
   Netherlands,1991,149280000,1991
   Poland,1991,14580000,1991
   Portugal,1991,26880000,1991
   Romania,1991,20100000,1991
   Slovakia,1991,0,1991
   Slovenia,1991,0,1991
   Spain,1991,159060000,1991
   Sweden,1991,96240000,1991
Japan,1991,348540000,1991
Norway,1991,45480000,1991
Russian Federation,1991,0,1991
Switzerland,1991,56940000,1991
Tunisia,1991,5400000,1991
United Kingdom,1991,140520000,1991
United States of America,1991,1119660000,1991
   Austria,1992,72720000,1992
   Belgium,1992,0,1992
   Belgium/Luxembourg,1992,41760000,1992
   Bulgaria,1992,10500000,1992
   Croatia,1992,8100000,1992
   Cyprus,1992,2340000,1992
   Czechia,1992,28320000,1992
   Denmark,1992,57540000,1992
   Estonia,1992,780000,1992
   Finland,1992,61800000,1992
   France,1992,336840000,1992
   Germany,1992,574200000,1992
   Greece,1992,19200000,1992
   Hungary,1992,20880000,1992
   Ireland,1992,5460000,1992
   Italy,1992,247920000,1992
   Latvia,1992,1140000,1992
   Lithuania,1992,120000,1992
   Luxembourg,1992,0,1992
   Malta,1992,960000,1992
   Netherlands,1992,195660000,1992
   Poland,1992,99000000,1992
   Portugal,1992,34380000,1992
   Romania,1992,36060000,1992
   Slovakia,1992,0,1992
   Slovenia,1992,6900000,1992
   Spain,1992,182700000,1992
   Sweden,1992,98040000,1992
Japan,1992,307920000,1992
Norway,1992,44160000,1992
Russian Federation,1992,82620000,1992
Switzerland,1992,59700000,1992
Tunisia,1992,6660000,1992
United Kingdom,1992,150960000,1992
United States of America,1992,1097400000,1992
   Austria,1993,80100000,1993
   Belgium,1993,0,1993
   Belgium/Luxembourg,1993,47340000,1993
   Bulgaria,1993,19620000,1993
   Croatia,1993,7920000,1993
   Cyprus,1993,4680000,1993
   Czechia,1993,26880000,1993
